Query,Taxon dist HGT (Viruses)
Smic.gene10101.mRNA1,False
Smic.gene10133.mRNA1,False
Smic.gene10178.mRNA1,False
Smic.gene10221.mRNA1,False
Smic.gene10248.mRNA1,False
Smic.gene10274.mRNA1,False
Smic.gene10297.mRNA1,False
Smic.gene10343.mRNA1,False
Smic.gene10365.mRNA1,False
Smic.gene10426.mRNA1,False
Smic.gene10515.mRNA1,False
Smic.gene10538.mRNA1,False
Smic.gene10548.mRNA1,True
Smic.gene10572.mRNA1,False
Smic.gene10610.mRNA1,False
Smic.gene10652.mRNA1,False
Smic.gene1081.mRNA1,False
Smic.gene10811.mRNA1,False
Smic.gene10835.mRNA1,False
Smic.gene10860.mRNA1,False
Smic.gene10870.mRNA1,False
Smic.gene10952.mRNA1,False
Smic.gene10972.mRNA1,False
Smic.gene11039.mRNA1,False
Smic.gene11053.mRNA1,False
Smic.gene11083.mRNA1,False
Smic.gene11153.mRNA1,False
Smic.gene11222.mRNA1,False
Smic.gene11316.mRNA1,False
Smic.gene11477.mRNA1,False
Smic.gene1149.mRNA1,False
Smic.gene1155.mRNA1,False
Smic.gene11625.mRNA1,False
Smic.gene1168.mRNA1,False
Smic.gene11729.mRNA1,False
Smic.gene11748.mRNA1,False
Smic.gene11766.mRNA1,False
Smic.gene11858.mRNA1,False
Smic.gene11893.mRNA1,False
Smic.gene11896.mRNA1,False
Smic.gene11897.mRNA1,False
Smic.gene1191.mRNA1,False
Smic.gene11920.mRNA1,False
Smic.gene11940.mRNA1,False
Smic.gene11943.mRNA1,False
Smic.gene11951.mRNA1,False
Smic.gene11999.mRNA1,False
Smic.gene12039.mRNA1,False
Smic.gene12075.mRNA1,False
Smic.gene12097.mRNA1,False
Smic.gene12129.mRNA1,False
Smic.gene12132.mRNA1,True
Smic.gene12221.mRNA1,False
Smic.gene12227.mRNA1,False
Smic.gene12255.mRNA1,False
Smic.gene12327.mRNA1,False
Smic.gene1234.mRNA1,False
Smic.gene1238.mRNA1,False
Smic.gene1239.mRNA1,False
Smic.gene12396.mRNA1,False
Smic.gene12465.mRNA1,False
Smic.gene12469.mRNA1,False
Smic.gene12578.mRNA1,False
Smic.gene12600.mRNA1,False
Smic.gene1262.mRNA1,False
Smic.gene12644.mRNA1,False
Smic.gene1274.mRNA1,False
Smic.gene12749.mRNA1,False
Smic.gene12751.mRNA1,False
Smic.gene12756.mRNA1,False
Smic.gene12779.mRNA1,False
Smic.gene1284.mRNA1,False
Smic.gene12857.mRNA1,False
Smic.gene12868.mRNA1,False
Smic.gene12884.mRNA1,False
Smic.gene12923.mRNA1,False
Smic.gene12929.mRNA1,False
Smic.gene1294.mRNA1,False
Smic.gene13059.mRNA1,True
Smic.gene13097.mRNA1,False
Smic.gene13130.mRNA1,False
Smic.gene13160.mRNA1,False
Smic.gene13167.mRNA1,False
Smic.gene13261.mRNA1,False
Smic.gene1334.mRNA1,False
Smic.gene13371.mRNA1,False
Smic.gene13373.mRNA1,False
Smic.gene13427.mRNA1,False
Smic.gene13432.mRNA1,False
Smic.gene13437.mRNA1,False
Smic.gene13451.mRNA1,False
Smic.gene13455.mRNA1,False
Smic.gene13482.mRNA1,False
Smic.gene13529.mRNA1,False
Smic.gene13554.mRNA1,False
Smic.gene13578.mRNA1,False
Smic.gene13599.mRNA1,False
Smic.gene1363.mRNA1,False
Smic.gene13633.mRNA1,False
Smic.gene13641.mRNA1,False
Smic.gene13656.mRNA1,False
Smic.gene13685.mRNA1,False
Smic.gene13699.mRNA1,False
Smic.gene13745.mRNA1,False
Smic.gene13780.mRNA1,False
Smic.gene13782.mRNA1,False
Smic.gene13828.mRNA1,False
Smic.gene13979.mRNA1,False
Smic.gene13980.mRNA1,False
Smic.gene13983.mRNA1,False
Smic.gene14019.mRNA1,False
Smic.gene14043.mRNA1,False
Smic.gene14050.mRNA1,False
Smic.gene14077.mRNA1,False
Smic.gene14153.mRNA1,False
Smic.gene14192.mRNA1,False
Smic.gene14266.mRNA1,False
Smic.gene14359.mRNA1,False
Smic.gene14370.mRNA1,False
Smic.gene14393.mRNA1,False
Smic.gene144.mRNA1,False
Smic.gene14412.mRNA1,False
Smic.gene14424.mRNA1,False
Smic.gene14428.mRNA1,False
Smic.gene14448.mRNA1,False
Smic.gene14507.mRNA1,False
Smic.gene14511.mRNA1,True
Smic.gene14540.mRNA1,False
Smic.gene14594.mRNA1,False
Smic.gene146.mRNA1,False
Smic.gene14625.mRNA1,False
Smic.gene1465.mRNA1,True
Smic.gene1467.mRNA1,False
Smic.gene14726.mRNA1,False
Smic.gene14745.mRNA1,False
Smic.gene14747.mRNA1,False
Smic.gene14797.mRNA1,False
Smic.gene14808.mRNA1,False
Smic.gene14826.mRNA1,False
Smic.gene14979.mRNA1,False
Smic.gene14987.mRNA1,False
Smic.gene15008.mRNA1,False
Smic.gene15038.mRNA1,False
Smic.gene15134.mRNA1,False
Smic.gene15135.mRNA1,False
Smic.gene15159.mRNA1,False
Smic.gene15164.mRNA1,False
Smic.gene15166.mRNA1,False
Smic.gene15195.mRNA1,False
Smic.gene15208.mRNA1,False
Smic.gene15375.mRNA1,False
Smic.gene15393.mRNA1,False
Smic.gene15400.mRNA1,False
Smic.gene15469.mRNA1,False
Smic.gene15471.mRNA1,False
Smic.gene15477.mRNA1,False
Smic.gene1548.mRNA1,False
Smic.gene15521.mRNA1,False
Smic.gene15650.mRNA1,False
Smic.gene15718.mRNA1,False
Smic.gene15719.mRNA1,False
Smic.gene1576.mRNA1,False
Smic.gene158.mRNA1,True
Smic.gene15861.mRNA1,False
Smic.gene1589.mRNA1,True
Smic.gene15906.mRNA1,False
Smic.gene16025.mRNA1,False
Smic.gene16096.mRNA1,False
Smic.gene16250.mRNA1,False
Smic.gene16292.mRNA1,False
Smic.gene16306.mRNA1,True
Smic.gene16327.mRNA1,False
Smic.gene16435.mRNA1,False
Smic.gene16513.mRNA1,False
Smic.gene16532.mRNA1,False
Smic.gene16564.mRNA1,False
Smic.gene16570.mRNA1,False
Smic.gene16571.mRNA1,False
Smic.gene16651.mRNA1,False
Smic.gene1666.mRNA1,False
Smic.gene16664.mRNA1,False
Smic.gene16769.mRNA1,False
Smic.gene16853.mRNA1,False
Smic.gene16857.mRNA1,False
Smic.gene16956.mRNA1,False
Smic.gene17019.mRNA1,False
Smic.gene17073.mRNA1,False
Smic.gene17099.mRNA1,False
Smic.gene17177.mRNA1,False
Smic.gene17210.mRNA1,False
Smic.gene17228.mRNA1,False
Smic.gene17229.mRNA1,False
Smic.gene17234.mRNA1,False
Smic.gene17298.mRNA1,False
Smic.gene17304.mRNA1,False
Smic.gene17354.mRNA1,False
Smic.gene17476.mRNA1,False
Smic.gene17522.mRNA1,False
Smic.gene17525.mRNA1,False
Smic.gene17532.mRNA1,False
Smic.gene17537.mRNA1,False
Smic.gene17550.mRNA1,False
Smic.gene17629.mRNA1,False
Smic.gene17665.mRNA1,False
Smic.gene17693.mRNA1,False
Smic.gene17744.mRNA1,False
Smic.gene17770.mRNA1,False
Smic.gene17874.mRNA1,False
Smic.gene1789.mRNA1,False
Smic.gene1801.mRNA1,False
Smic.gene18085.mRNA1,False
Smic.gene18136.mRNA1,False
Smic.gene18143.mRNA1,False
Smic.gene18164.mRNA1,False
Smic.gene18191.mRNA1,False
Smic.gene18214.mRNA1,False
Smic.gene18241.mRNA1,False
Smic.gene18281.mRNA1,False
Smic.gene18427.mRNA1,False
Smic.gene18433.mRNA1,False
Smic.gene18446.mRNA1,False
Smic.gene18498.mRNA1,False
